acousticness,danceability,duration_ms,energy,firstartist,id,imageurl,instrumentalness,key,liveness,loudness,popularity,preview_url,speechiness,spotifyurl,tempo,time_signature,track_number,trackname,valence,density,baseline_ranking,baseline_score
0.0262,0.8590000000000001,242027,0.647,Grand Puba,7euRccXJF7okTn5PRXQHR7,https://i.scdn.co/image/c0ab47cf3b624769fe0385eda6bdead0e250fd1e,0.00405,6,0.15,-9.319,29,https://p.scdn.co/mp3-preview/d820bf258f2d19e13ce4c370b0b2425c287e28bf?cid=f715962b546a41029c80979d6042ad77,0.185,https://open.spotify.com/track/7euRccXJF7okTn5PRXQHR7,98,4,7,Amazing,0.774,687.1253112685507,301.0,3051.0
0.00177,0.902,219200,0.524,House Of Pain,2No866hrlpKgTXcQTZ2D2b,https://i.scdn.co/image/de2534076e767d5e8194d6925b349b386386f80c,1.33e-05,8,0.0854,-8.394,34,https://p.scdn.co/mp3-preview/d3218cdf4bdeb542c053e275eb114263fe9c8d4b?cid=f715962b546a41029c80979d6042ad77,0.109,https://open.spotify.com/track/2No866hrlpKgTXcQTZ2D2b,93,4,6,House and the Rising Son,0.5529999999999999,686.6915141289028,302.0,3050.0
0.00433,0.815,220507,0.736,Brand Nubian,2tfD8tX2tkC5y5YyLGRm6R,https://i.scdn.co/image/7f0a5c33a15044436058a308281fa9937bf3ee90,0.0,2,0.203,-7.475,33,https://p.scdn.co/mp3-preview/0f7788bac4f50546a19e1bc67cd13b75903845c8?cid=f715962b546a41029c80979d6042ad77,0.206,https://open.spotify.com/track/2tfD8tX2tkC5y5YyLGRm6R,98,4,3,Shinin' Star,0.732,686.1005908976454,303.0,3049.0
0.0169,0.6859999999999999,275853,0.7290000000000001,Spice 1,1EBrDRYF0NU5nSKy05NIQz,https://i.scdn.co/image/b65ea75fd6e353e68b55c44b0d5ed4b7ece64066,0.0,7,0.139,-6.375,21,https://p.scdn.co/mp3-preview/5d5f07e629e82a9331e0b35586d5f6b993298e33?cid=f715962b546a41029c80979d6042ad77,0.218,https://open.spotify.com/track/1EBrDRYF0NU5nSKy05NIQz,88,4,8,Jealous Got Me Strapped,0.4370000000000001,685.4047662953726,304.0,3048.0
0.128,0.862,235200,0.705,Special Ed,2XQIn9lQSAn6Ea3IG4XOh6,https://i.scdn.co/image/16e42378c18e8dd86bd2c50cbbd3160e0c07dffa,2.15e-05,1,0.193,-11.065,27,https://p.scdn.co/mp3-preview/262ae1c51f0642556831b43d7df75684bf198998?cid=f715962b546a41029c80979d6042ad77,0.149,https://open.spotify.com/track/2XQIn9lQSAn6Ea3IG4XOh6,102,4,2,The Mission,0.745,684.4499041096548,305.0,3047.0
0.0153,0.6609999999999999,237200,0.784,GZA,1UTX5wGyy7IC6HeT5MmAJ1,https://i.scdn.co/image/f8713b6db9de5d738b6db46fd3dc0f27d11dfe19,0.017,7,0.177,-5.54,43,,0.16,https://open.spotify.com/track/1UTX5wGyy7IC6HeT5MmAJ1,92,4,4,Gold,0.55,684.3581270903171,306.0,3046.0
0.0215,0.825,199973,0.489,Jeezy,2JJ5h2I1S0UR4tyD0U1I7K,https://i.scdn.co/image/4d8d6463b406f941a742864d168b7860bd597ab0,0.0,11,0.111,-9.32,52,,0.263,https://open.spotify.com/track/2JJ5h2I1S0UR4tyD0U1I7K,97,4,1,R.I.P.,0.438,681.6944752550174,307.0,3045.0
0.0578,0.895,257067,0.57,Ol' Dirty Bastard,5xCHbfLnVBLgJGeO1zUPpz,https://i.scdn.co/image/7fd7f66d1f491c1db15b9438def676a510d1f412,0.0,6,0.05,-6.3210000000000015,47,https://p.scdn.co/mp3-preview/2a058f9032019af22f7fb256f197254ac71f3a42?cid=f715962b546a41029c80979d6042ad77,0.122,https://open.spotify.com/track/5xCHbfLnVBLgJGeO1zUPpz,88,4,1,"Intoxicated (feat. Raekwon, Method Man & Macy Gray)",0.7659999999999999,681.136946273048,308.0,3044.0
0.0241,0.8220000000000001,272707,0.6609999999999999,Arrested Development,1aaoIHFT9UqhlaEwLAhh00,https://i.scdn.co/image/99e9f7659c780bb0244f63b070f51789d0f5e760,3.95e-06,1,0.315,-10.234,47,,0.16399999999999998,https://open.spotify.com/track/1aaoIHFT9UqhlaEwLAhh00,100,4,14,Tennessee,0.67,679.8793251220711,309.0,3043.0
0.0116,0.767,257907,0.8640000000000001,Eminem,0nKZeSrqH9u31NLoTUsYBR,https://i.scdn.co/image/36059ccbd5b606836991e8fc581413710f7f6adf,0.0,10,0.0957,-1.847,63,,0.133,https://open.spotify.com/track/0nKZeSrqH9u31NLoTUsYBR,85,4,7,You Don't Know,0.747,677.5806572555663,310.0,3042.0
