id,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
3zl7j5ua8mF4JDYuxrfo01,Perfect Symphony (Ed Sheeran & Andrea Bocelli),71,https://p.scdn.co/mp3-preview/a7a3d0c237792456f61c95fe4b9eff57a3cb6fc3?cid=null,1,Ed Sheeran,https://i.scdn.co/image/5a118775dc08e51d6c8ba5169a5cadbfa98d7caa,https://open.spotify.com/track/3zl7j5ua8mF4JDYuxrfo01,0.586,0.544,265363,0.41700000000000004,0.0,8,0.085,-4.387,0.0247,95,3,0.207
6Yh7LqwZSBkWuxNUmQQQuv,Carol of the Bells,31,https://p.scdn.co/mp3-preview/8134267f3e61e426c3a23aa8ea0fe051e190bb8f?cid=f715962b546a41029c80979d6042ad77,1,Libera,https://i.scdn.co/image/21ce5c115c7ad2cb8e61e269f2ea5a3ae06d932c,https://open.spotify.com/track/6Yh7LqwZSBkWuxNUmQQQuv,0.975,0.40299999999999997,184000,0.39799999999999996,0.00244,7,0.0657,-9.036,0.0356,78,3,0.263
0elasvAZq14sQBPg845HVN,"Ave Maria, D839",1,,5,Franz Schubert,https://i.scdn.co/image/ccea1e514d4e1ddb0100ab21fbbacade500a48d9,https://open.spotify.com/track/0elasvAZq14sQBPg845HVN,0.948,0.212,289489,0.33,0.000146,10,0.105,-13.524000000000001,0.0372,89,4,0.121
0NyoL0U4nAA7bMQa7nMz0w,In the Bleak Midwinter,24,https://p.scdn.co/mp3-preview/fe8ad79aef402b7c1149485572c6e4da59008722?cid=f715962b546a41029c80979d6042ad77,3,Aled Jones,https://i.scdn.co/image/b13226b6061bdd368ea212807a53365f310dd3c1,https://open.spotify.com/track/0NyoL0U4nAA7bMQa7nMz0w,0.9309999999999999,0.21600000000000003,207933,0.318,0.0111,5,0.096,-9.203,0.0339,100,3,0.16699999999999998
4INpamUxVd94SwNoFdiRzP,天使の糧: Panis Angelicus,21,,21,César Franck,https://i.scdn.co/image/0bc271b1c068269bddcccee16758cdee04a220f9,https://open.spotify.com/track/4INpamUxVd94SwNoFdiRzP,0.938,0.276,226640,0.13,6.63e-05,9,0.774,-15.175999999999998,0.0299,70,4,0.15
3vBzLHMBf5hkCAzNFL8wea,Pray'r (Duet) - radio edit,16,https://p.scdn.co/mp3-preview/80de0ce984052ed65fa5255ecfe4452aabb8f9c7?cid=f715962b546a41029c80979d6042ad77,2,Stein B. Svendsen,https://i.scdn.co/image/55333fb387fa92e95a21b0b5cf1c14fbb954e1b0,https://open.spotify.com/track/3vBzLHMBf5hkCAzNFL8wea,0.733,0.293,248467,0.579,0.0,4,0.0552,-7.312,0.0454,59,3,0.17800000000000002
6VSLLLMD7kNU3d16P9P2eE,Pie Jesu from Requiem,25,https://p.scdn.co/mp3-preview/e7ef43c3dc0d1fbdb701c602d24672b7c5cb0cbb?cid=f715962b546a41029c80979d6042ad77,6,Plácido Domingo,https://i.scdn.co/image/ec89257bf080da1a10f6b33c6d29260027dc4cfa,https://open.spotify.com/track/6VSLLLMD7kNU3d16P9P2eE,0.9570000000000001,0.161,233640,0.185,0.0016300000000000002,5,0.134,-14.796,0.0335,83,3,0.0492
7yPtjVIw1fQ86Pug1Tuzbd,Angels We Have Heard On High (with Brian McKnight),54,https://p.scdn.co/mp3-preview/8f85ab144d6978f8fa9131b1d4158faf3209aa57?cid=f715962b546a41029c80979d6042ad77,5,Josh Groban,https://i.scdn.co/image/f6bb196a891fc5b8f9c34ce18810c61001c30324,https://open.spotify.com/track/7yPtjVIw1fQ86Pug1Tuzbd,0.9129999999999999,0.465,210933,0.281,0.000656,5,0.115,-12.202,0.0297,110,4,0.262
0vmfPUePkt5uhsYYZWAdXk,Notte Stellata (The Swan),0,,13,Il Volo,https://i.scdn.co/image/8a1820d628e59c05b47851a36a810f4a22b06a13,https://open.spotify.com/track/0vmfPUePkt5uhsYYZWAdXk,0.938,0.0962,232053,0.168,0.0673,1,0.183,-15.372,0.0439,60,3,0.0771
73Qw33wmrc3r4kSRBXHGSX,Auld Lang Syne,49,https://p.scdn.co/mp3-preview/e7ad427ff392604b791d4f7a64d87eae42a0cfe0?cid=f715962b546a41029c80979d6042ad77,9,Susan Boyle,https://i.scdn.co/image/0bf9967fc55d521fd44366b083c571ad5b6506bb,https://open.spotify.com/track/73Qw33wmrc3r4kSRBXHGSX,0.9440000000000001,0.34600000000000003,164333,0.163,1.6800000000000002e-05,2,0.105,-13.700999999999999,0.0521,81,4,0.273
