id,genre_allmusic,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,density,baseline_ranking,baseline_score
4eng8j7eeoNxST71P8tFJm,avant-garde,Activities for Orchestra,4,https://p.scdn.co/mp3-preview/43630ce6a92f4cf1c2ec21863eca6d3ab41fe280?cid=9fdb4c15be18472b830ea3f6f9779309,4,Toshi Ichiyanagi,https://i.scdn.co/image/ab67616d00001e020df897a0b8c6c442be07a80c,https://open.spotify.com/track/4eng8j7eeoNxST71P8tFJm,0.966,0.122,1447347,0.203,0.711,4,0.1,-26.814,0.103,76.381,4,0.0366,160.6239141828068,324.0,2982.0
23knTQBfUbhlQsVMGFo7Lt,avant-garde,Boulez : Notations : 1 - Modéré - Fantasque,12,https://p.scdn.co/mp3-preview/c92f25005411bf89b7520d64a6c0d23d573229be?cid=9fdb4c15be18472b830ea3f6f9779309,16,Pierre Boulez,https://i.scdn.co/image/ab67616d00001e02223ab911b3ededfb9846b141,https://open.spotify.com/track/23knTQBfUbhlQsVMGFo7Lt,0.947,0.198,154867,0.0492,0.868,1,0.127,-32.147,0.0443,77.97800000000002,4,0.0356,160.48814398526176,325.0,2981.0
1kpt4tOYUq9rKo63e6qX5r,avant-garde,In London - Radio Edit,4,https://p.scdn.co/mp3-preview/b3bdfc54652f0da5eb6cb85c38c3a4d9655eb12d?cid=9fdb4c15be18472b830ea3f6f9779309,3,Neuronium,https://i.scdn.co/image/ab67616d00001e02b80cfc03dcd40215c11cadc8,https://open.spotify.com/track/1kpt4tOYUq9rKo63e6qX5r,0.821,0.179,187467,0.279,0.7879999999999999,5,0.204,-11.933,0.0381,114.178,4,0.0344,159.93343418810196,326.0,2980.0
1FUDHnfiGV0TVG7jrqzHMg,avant-garde,The Great Learning: Paragraph 7,5,,2,Cornelius Cardew,https://i.scdn.co/image/ab67616d00001e02fc111aa4a01d69f84635ec38,https://open.spotify.com/track/1FUDHnfiGV0TVG7jrqzHMg,0.977,0.16899999999999998,1229000,0.103,0.975,7,0.379,-30.259,0.05,125.12,3,0.0325,159.5047001145843,327.0,2979.0
6oB0tkMDg7GhzgnsC8jX1J,avant-garde,"The Heart Asks Pleasure First (From ""The Piano"")",34,https://p.scdn.co/mp3-preview/cd6225f6ebf374421d99cc0c33c4d8218a5005be?cid=9fdb4c15be18472b830ea3f6f9779309,1,Michael Nyman,https://i.scdn.co/image/ab67616d00001e0266849330ba41619104482bd9,https://open.spotify.com/track/6oB0tkMDg7GhzgnsC8jX1J,0.99,0.117,190547,0.0989,0.847,9,0.0709,-25.139,0.0394,63.782,5,0.0398,158.86303151533954,328.0,2978.0
4EDj8GXOlI45vG4SOfswK3,avant-garde,Headache,52,https://p.scdn.co/mp3-preview/410d0d152a7c84e4de63516fdff5439154c6a767?cid=9fdb4c15be18472b830ea3f6f9779309,1,Grouper,https://i.scdn.co/image/ab67616d00001e02651972e1274ed6070e4a6508,https://open.spotify.com/track/4EDj8GXOlI45vG4SOfswK3,0.833,0.276,304461,0.155,0.8759999999999999,9,0.0809,-22.065,0.0445,138.946,4,0.0382,158.62811007749707,329.0,2977.0
4qGPD7wXccBYt9zxfUjjNh,avant-garde,Another destination in the West,5,https://p.scdn.co/mp3-preview/930a3647b1a633d810a0dc18588617aef4ace4cf?cid=9fdb4c15be18472b830ea3f6f9779309,10,David Shea,https://i.scdn.co/image/ab67616d00001e0270ed01c8d9df1c7ca9734939,https://open.spotify.com/track/4qGPD7wXccBYt9zxfUjjNh,0.957,0.208,602370,0.0749,0.6409999999999999,6,0.0721,-26.412,0.0353,139.17600000000002,4,0.0335,157.99721007693554,330.0,2976.0
688B2Ls3to4uRJ5XBzbVpk,avant-garde,Pre-Pulse Suspended,0,https://p.scdn.co/mp3-preview/42447cbc20e4167240a0eb57949a434b8b2df9b3?cid=9fdb4c15be18472b830ea3f6f9779309,1,Lee Hyla,https://i.scdn.co/image/ab67616d00001e0266e0a2a3bf3d591463e4407f,https://open.spotify.com/track/688B2Ls3to4uRJ5XBzbVpk,0.949,0.17800000000000002,738667,0.0463,0.388,5,0.294,-23.148000000000003,0.0456,79.607,5,0.0359,157.93560080653955,331.0,2975.0
1RJAbKJX94S2Owy6H9CILo,avant-garde,"Trifada, Pt Two",9,https://p.scdn.co/mp3-preview/02d2bd01885077bf7edf4141aff6625417fbb2bb?cid=9fdb4c15be18472b830ea3f6f9779309,5,Oophoi,https://i.scdn.co/image/ab67616d00001e0297cfc520d8e0f10bdf4fc599,https://open.spotify.com/track/1RJAbKJX94S2Owy6H9CILo,0.897,0.149,294973,0.0778,0.908,10,0.1,-38.37,0.0541,137.416,4,0.039,157.835891166588,332.0,2974.0
2cnCYr5QgPJG0OJqYY4DGF,avant-garde,3 Pieces in Old Style: No. 1. Aria,18,https://p.scdn.co/mp3-preview/909b7993828996f87b73ddadd897505ddd765f4f?cid=9fdb4c15be18472b830ea3f6f9779309,1,Krzysztof Penderecki,https://i.scdn.co/image/ab67616d00001e02c7a1cb37b9a44264e39df591,https://open.spotify.com/track/2cnCYr5QgPJG0OJqYY4DGF,0.867,0.153,133160,0.0398,0.965,7,0.114,-31.174,0.0432,85.367,4,0.0373,156.9783875164858,333.0,2973.0
