artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
5ESobCkc6JI4tIMxQttqeg;Bessie Smith;blues,cabaret,jazz blues,traditional blues,vocal jazz;blues;level_1;77324;46;https://open.spotify.com/artist/5ESobCkc6JI4tIMxQttqeg;https://i.scdn.co/image/451f63f6a6bacde320e496c063e6afeb5701f348
4y6J8jwRAwO4dssiSmN91R;Muddy Waters;blues,blues-rock,chicago blues,classic rock,electric blues,soul,traditional blues;blues;level_1,level_2;657853;59;https://open.spotify.com/artist/4y6J8jwRAwO4dssiSmN91R;https://i.scdn.co/image/40d562d19e9bf6bb6cd7b6886ec7608c281febca
0iOVhN3tnSvgDbcg25JoJb;Etta James;adult standards,christmas,classic soul,jazz blues,soul,soul blues,vocal jazz;blues;level_1;771470;68;https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb;https://i.scdn.co/image/080fdba3c4882c3b2ef8a83036aca2b8303047c4
5xLSa7l4IV1gsQfhAMvl0U;B.B. King;blues,blues-rock,classic rock,electric blues,jazz blues,soul blues,traditional blues;blues;level_1,level_2;1392181;65;https://open.spotify.com/artist/5xLSa7l4IV1gsQfhAMvl0U;https://i.scdn.co/image/7e53bec2f958fa7fd1868124a0897cb0d08b60ee
48nwxUvPJZkm8uPa7xMzmj;"Bobby ""Blue"" Bland";blues,classic soul,electric blues,rhythm and blues,soul,soul blues,southern soul,traditional blues;blues;level_1,level_2;71688;52;https://open.spotify.com/artist/48nwxUvPJZkm8uPa7xMzmj;https://i.scdn.co/image/ddc2e61c94af610b20c2862f6d6b31f9272edd31
0f8MDDzIc6M4uH1xH0o0gy;Robert Johnson;acoustic blues,blues,blues-rock,delta blues,traditional blues;blues;level_1,level_2;275709;51;https://open.spotify.com/artist/0f8MDDzIc6M4uH1xH0o0gy;https://i.scdn.co/image/e5e3a261affcf0d3e511f3c61c150340135f2bfd
41ZMMuFFLPTVPkUsSI5KlV;Jimmy Reed;blues,blues-rock,chicago blues,electric blues,harmonica blues,rhythm and blues,rock-and-roll,traditional blues;blues;level_1,level_2;63108;48;https://open.spotify.com/artist/41ZMMuFFLPTVPkUsSI5KlV;https://i.scdn.co/image/497074abfa33d05b7a1d25353da3119a998caf3e
1yNOfXGQNGjAynk77wv85x;John Lee Hooker;blues,blues-rock,classic rock,delta blues,electric blues,memphis blues,soul,traditional blues;blues;level_1,level_2;365442;57;https://open.spotify.com/artist/1yNOfXGQNGjAynk77wv85x;https://i.scdn.co/image/cf841663e2a09d52308cb7f4c9672b8689f6c775
2gCsNOpiBaMNh20jQ5prf0;Buddy Guy;blues,blues-rock,chicago blues,classic rock,country blues,electric blues,modern blues,soul blues,southern rock,traditional blues;blues;level_1,level_2;444542;57;https://open.spotify.com/artist/2gCsNOpiBaMNh20jQ5prf0;https://i.scdn.co/image/60a69fdc0f15ae65649b84110a327102895c7d01
5aygfDCEaX5KTZOxSCpT9o;Albert King;blues,blues-rock,classic rock,electric blues,memphis soul,soul blues,traditional blues;blues;level_1,level_2;190696;53;https://open.spotify.com/artist/5aygfDCEaX5KTZOxSCpT9o;https://i.scdn.co/image/4bc4a6c21e93322e264ccdc9116d009860359f60
6EZzVXM2uDRPmnHWq9yPDE;Lightnin' Hopkins;acoustic blues,blues,country blues,delta blues,texas blues,traditional blues,traditional folk;blues;level_1,level_2;107831;49;https://open.spotify.com/artist/6EZzVXM2uDRPmnHWq9yPDE;https://i.scdn.co/image/23fffe22b3e6dbb1c6605ece399db40126877f4a
1h0hOL3bVcYlg4xcSjU7fP;Otis Rush;blues,blues-rock,chicago blues,electric blues,modern blues,traditional blues;blues;level_1,level_2;78896;45;https://open.spotify.com/artist/1h0hOL3bVcYlg4xcSjU7fP;https://i.scdn.co/image/aaa02988fa611e0b2113e537ad88a509bab2ecf4
4aoS04mCVj1CMam1LiHngo;"Clarence ""Gatemouth"" Brown";blues,blues-rock,memphis blues,modern blues,texas blues,traditional blues;blues;level_1,level_2;20312;36;https://open.spotify.com/artist/4aoS04mCVj1CMam1LiHngo;https://i.scdn.co/image/687c9a0d05ce2c5adc7472272a34f159a7cafbd0
74g0xdNndEjFzMKSRFUMNM;Lonnie Johnson;acoustic blues,blues,country blues,jazz blues,louisiana blues,memphis blues,new orleans blues,traditional blues;blues;level_1,level_2;10734;36;https://open.spotify.com/artist/74g0xdNndEjFzMKSRFUMNM;https://i.scdn.co/image/227666fa0845bd7cfadf7059fd109297ea8fa2a0
1DTgcOxytJHD8p17mhSgd7;Big Joe Turner;blues,jump blues,rhythm and blues,rock-and-roll,rockabilly,traditional blues;blues;level_1,level_2;15095;42;https://open.spotify.com/artist/1DTgcOxytJHD8p17mhSgd7;https://i.scdn.co/image/db3171ac7cb5d9123661c0a4d0d1efc21253fb55
5v8WPpMk60cqZbuZLdXjKY;Willie Dixon;acoustic blues,blues,chicago blues,electric blues,jump blues,traditional blues;blues;level_1,level_2;65556;40;https://open.spotify.com/artist/5v8WPpMk60cqZbuZLdXjKY;https://i.scdn.co/image/a054fa32bc5139793652f8e2b084c10c6efca3af
3trsSEaKM3UM2R9RBJwdtJ;Charles Brown;blues,christmas,jazz blues,piano blues;blues;level_1,level_2;6813;50;https://open.spotify.com/artist/3trsSEaKM3UM2R9RBJwdtJ;https://i.scdn.co/image/fd1bed3b988f325944727b1e33301ab152073c75
7ApWhtmpJkPyd5WjwDdDfX;Big Walter Horton;blues,chicago blues,electric blues,harmonica blues,memphis blues,traditional blues;blues;level_1,level_2;11603;28;https://open.spotify.com/artist/7ApWhtmpJkPyd5WjwDdDfX;https://i.scdn.co/image/4cec6527a029b0e54461acfcefbb929ba61451f1
15oeqKO5k5uZ5773tWvpda;Son House;acoustic blues,blues,country blues,delta blues,traditional blues,traditional folk;blues;level_1,level_2;69521;42;https://open.spotify.com/artist/15oeqKO5k5uZ5773tWvpda;https://i.scdn.co/image/9fd20366444ea79099754fe4b2082789e9676c4e
1tawCzlbH40c30eztzufSu;Roy Brown;jump blues,rhythm and blues;blues;level_1;7373;44;https://open.spotify.com/artist/1tawCzlbH40c30eztzufSu;https://i.scdn.co/image/9b6fea31dcbd6377be43be4b061c5688ec3fa184
5dCuFngSPyOOnTAvrC7v2s;Freddie King;acoustic blues,blues,blues-rock,classic rock,electric blues,southern rock,texas blues,traditional blues;blues;level_1,level_2;157552;51;https://open.spotify.com/artist/5dCuFngSPyOOnTAvrC7v2s;https://i.scdn.co/image/f5659df5e8bd559c3cb7deebf8732b04da238083
6nPKmEbQmR8jGZEm7ArOFX;T-Bone Walker;blues,chicago blues,electric blues,jazz blues,texas blues,traditional blues;blues;level_1,level_2;89446;46;https://open.spotify.com/artist/6nPKmEbQmR8jGZEm7ArOFX;https://i.scdn.co/image/9766570b83f7f5e26072402db7b3eda86f81bd74
22JuR9OeENcP54XN5TlNWS;Little Walter;acoustic blues,blues,chicago blues,electric blues,harmonica blues,louisiana blues,rhythm and blues,rock-and-roll,traditional blues;blues;level_1,level_2;106087;47;https://open.spotify.com/artist/22JuR9OeENcP54XN5TlNWS;https://i.scdn.co/image/f93ddf2db270779389c96d0c67bc08bee9e71271
69VgCcXFV59QuQWEXSTxfK;Sonny Boy Williamson II;acoustic blues,blues,chicago blues,country blues,delta blues,harmonica blues,traditional blues;blues;level_1,level_2;75825;47;https://open.spotify.com/artist/69VgCcXFV59QuQWEXSTxfK;https://i.scdn.co/image/5a4ec92c3ad464668a56aa40b6974d0721fe792b
78CBFzwo7wwNaaTYVP5btK;Junior Wells;blues,chicago blues,electric blues,harmonica blues,memphis blues,traditional blues;blues;level_1,level_2;58254;42;https://open.spotify.com/artist/78CBFzwo7wwNaaTYVP5btK;https://i.scdn.co/image/3f2bfa722c48d8450854ed10c7f3301eb447d12c
1NnRjWELSLqFONDhwc8VU7;Champion Jack Dupree;acoustic blues,blues,electric blues,louisiana blues,memphis blues,new orleans blues,piano blues,rhythm and blues,traditional blues;blues;level_1,level_2;12877;37;https://open.spotify.com/artist/1NnRjWELSLqFONDhwc8VU7;https://i.scdn.co/image/6757defa1ed26ef4a83f737d4c2564dc5bf4442b
2FtoVJBkfbE89zyZJ0E9eR;Leroy Carr;blues,piano blues,traditional blues;blues;level_1,level_2;3283;31;https://open.spotify.com/artist/2FtoVJBkfbE89zyZJ0E9eR;https://i.scdn.co/image/d69f9b6acb8a5783895fc5a0b8c9bf1e07565c0a
3qXzj7WzBV3kwy1yEV1RcC;Brownie McGhee;acoustic blues,blues,country blues,piedmont blues,traditional blues;blues;level_1,level_2;5765;33;https://open.spotify.com/artist/3qXzj7WzBV3kwy1yEV1RcC;https://i.scdn.co/image/0eb2beb37f359cbccaf9c21800395223ce6a23ea
0yT9vbP1EOnCpl2McnF9nH;Mike Bloomfield;blues,blues-rock,chicago blues,classic rock,electric blues,modern blues,psychedelic rock,southern rock,traditional blues;blues;level_1,level_2;29308;43;https://open.spotify.com/artist/0yT9vbP1EOnCpl2McnF9nH;https://i.scdn.co/image/c23400267581290ba5783ff3597588dee60d0c24
