artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
3Mcii5XWf6E0lrY3Uky4cA;Ice Cube;conscious hip hop,g funk,gangster rap,hardcore hip hop,hip hop,pop rap,rap,west coast rap;rap;level_1,level_2;2513163;76;https://open.spotify.com/artist/3Mcii5XWf6E0lrY3Uky4cA;https://i.scdn.co/image/5414f371462d8c9d5d35c1a1b908d9f2a65fefbb
7jocoSCuCtpCxCI6IbP8ye;Digital Underground;conscious hip hop,gangster rap,hardcore hip hop,hip hop,hip house,rap,west coast rap;rap;level_1,level_2;166761;60;https://open.spotify.com/artist/7jocoSCuCtpCxCI6IbP8ye;https://i.scdn.co/image/0065509c998e32adbb5bc6400957da7a50e02317
78xUyw6FkVZrRAtziFdtdu;The Roots;alternative hip hop,conscious hip hop,dirty south rap,east coast hip hop,hardcore hip hop,hip hop,neo soul,pop rap,rap,southern hip hop;rap;level_1,level_2;675566;64;https://open.spotify.com/artist/78xUyw6FkVZrRAtziFdtdu;https://i.scdn.co/image/a030b504f8709e6f3369abd692009267177f819c
09hVIj6vWgoCDtT03h8ZCa;A Tribe Called Quest;alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz rap,pop rap,rap;rap;level_1,level_2;868371;71;https://open.spotify.com/artist/09hVIj6vWgoCDtT03h8ZCa;https://i.scdn.co/image/6781371e793ab66c6775e97b96dbf1dd127b83c1
7sfl4Xt5KmfyDs2T3SVSMK;Lil Jon;atl hip hop,crunk,dance pop,dirty south rap,pop rap,southern hip hop,trap music;rap;level_1;734814;75;https://open.spotify.com/artist/7sfl4Xt5KmfyDs2T3SVSMK;https://i.scdn.co/image/d8c6ca8c7486055dddbecacbb7e428617e9e690e
4P0dddbxPil35MNN9G2MEX;Cypress Hill;chicano rap,gangster rap,hardcore hip hop,hip hop,rap,rap rock,west coast rap;rap;level_1,level_2;863423;70;https://open.spotify.com/artist/4P0dddbxPil35MNN9G2MEX;https://i.scdn.co/image/9ace4eecb1a703b7feb5ef1e9e82fb566edfa282
25TKXk9zo9yk0HMJQ3TuE9;Kurtis Blow;east coast hip hop,electro,hip hop,hip house,old school hip hop,rap;rap;level_1,level_2;76313;46;https://open.spotify.com/artist/25TKXk9zo9yk0HMJQ3TuE9;https://i.scdn.co/image/008b9322c17342075ef50529e7a6ac59a555c9d4
0hCNtLu0JehylgoiP8L4Gh;Nicki Minaj;dance pop,hip pop,pop,pop rap;rap;level_1;13537457;95;https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh;https://i.scdn.co/image/3f0d8976b4771834103b63aa1b60e98d9e95309f
5spEJXLwD1sKUdC2bnOHPg;Bone Thugs-N-Harmony;dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop;rap;level_1,level_2;930012;68;https://open.spotify.com/artist/5spEJXLwD1sKUdC2bnOHPg;https://i.scdn.co/image/9ad82f4624cab8cda4373155984e42e9cc1ea6ba
2gINJ8xw86xawPyGvx1bla;KRS-One;alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,old school hip hop,rap,turntablism;rap;level_1,level_2;266439;58;https://open.spotify.com/artist/2gINJ8xw86xawPyGvx1bla;https://i.scdn.co/image/b42b372f66cf495afdecf91df33034c0c94a43bb
